city,company,country,description,salary_converted_currency,salary_converted_max,salary_converted_min,salary_currency,salary_max,salary_min,salary_raw,title,url,year_posted
Kuala Lumpur,Company Background,MY,"Salary

RM3500-4800

Job Description

Perform SEO analysis and keyword research in coordination with growth and acquisition objectives to optimize existing content and uncover new opportunities to improve.
Develop and implement SEO strategies for company and company related websites analyze and identify opportunities to grow organic search result and outrank competitors.
Create, manage, track, report and analyze campaigns, optimize copy and landing pages for paid search engine marketing campaigns research and analyze competitor advertising links.
Optimize the conversion of our app store pages on iOS, Android, Windows, Alexa, and more by providing keyword, description, and other ASO recommendations.
Work with Agency / Marketing Manager to provide recommendations for content development in coordination with our SEO and acquisition goals.
Manage and help develop a strategy for all product offers and promotions across platforms to support acquisition goals.
Collaborate with internal and external teams such as marketing, creative, data science, agencies, consultants, and product teams required to execute against optimization plan
Analyze key metrics daily, identify trends and execute a test to improve the target KPI. Able
to launch optimized online adverts through Google AdWords, Facebook, YouTube, LinkedIn etc. to increase company reputation and brand awareness and conversion rate.
Responsible for all marketing activities and the preparation of all marketing contents for EDMs, all posting and ongoing company presence on social media (Instagram, Facebook, WhatsApp & LinkedIn), marketing collaterals and etc.
Conduct market research on competitor analysis and info technology to support management decision making.repare al
Ponline channels monthly reports & submit monthly individual sales report with the identify and forecast for the business opportunities.
Responsible to develop new business and long term account opportunities through prospecting with the designated target markets. (Generate quotes, invoice and follow up payment with prospect/ clients.)
Establish comprehensive business plans & strategies on (Company Products, Partners Sales Performance, Promotion, Execution, etc.) to secure the new business and exclusive partnerships.
Plan & execute for the marketing plan, to increase the market share and revenue by Win Win Situation with the partners.
Contact prospective client by cold calling, premise visits, networking, lead generation, proposal Submission, and sales appointments in order to meet and exceed established sales & revenue quotas as well as increasing overall sales efficiency and profitability through excellent salesmanship
To brainstorm new and creative growth strategies, cost & ROI monitoring, align content to overall marketing roadmap (Example: Promotion, Campaign, online/ offline Event, Contest and etc.)
Participating in ad-hoc analysis/ special projects and responsible to sell the products assigns from time to time.
Develop strong relationship & remain consistent engagement with Clients & Customers on latest updates and best offerings to ensure continuous business & increase market share/ revenue by Win Win Situation.

Job Requirement

Candidate must possess at least a Diploma, Advanced/Higher/Graduate Diploma, Bachelor?s Degree, Post Graduate Diploma, Professional Degree, Business Studies/Administration/Management, Marketing or equivalent. any field.
Required language(s): English, Mandarin, Bahasa Malaysia (Candidates fluent in English & Mandarin preferred as role requires candidate to deal with mandarin speaking clients.)
At least 3 year(s) of working experience in the related field is required for this position.
Preferably Senior Executives specializing in Digital Marketing, Marketing (Offline & Online), Business Development or equivalent.
Candidate MUST possess own transport and willing to travel.

Benefit?

Flexi working hours (5 days working)
Parking facilities provided
Medical/Dental/Optical claimable

Company Background

IT & Mobile App lifestyle solution service provider

The Recruiter Sdn Bhd",MYR,4800.0,3500.0,MYR,4800.0,3500.0,RM3500-4800,Senior Digital Marketing Executive,https://malaysia.indeed.com/viewjob?jk=da450714b62cf44c&from=serp&vjs=3,2021
Kuala Lumpur,Agensi Pekerjaan Careerpath Sdn Bhd,MY,"Responsibilities

· Ensure availability, capacity and performance of the databases that support existing systems

· Installing, upgrading, configuring, testing and migrating of database

· Developing, managing, testing and carrying out backup and recovery plans/processes for various sites

· Ensure that the associated hardware capacity allocated to database provision is sufficient

· Management of databases, including change requests and troubleshooting incidents

· Ensure that documentation is maintained and kept up to date in line with standards and policies

· Managing all database related access permissions and privileges

· Performing database normalization and optimization

· Working closely with IT-related projects with related departments.

· Communicating regularly with technical, application and operational staff to ensure database integrity and security

Requirements

· Diploma / Degree in relevant Computer/Information Science

· At least 3 years and above professional Database Administrator experiences

· Possess good interpersonal and communication skills

· Strong knowledge in MSSQL

· Experience in data modelling for analytics using MSSQL

· Hands-on proficiency in Linux Operating System, as well as window server

· Global capacity planning and monitoring for future regional sites growth and demands

· Ability to work on assignment without detailed instructions, with good initiative and a cross-team player

· Problem-solving and good analytical skills

· Required distribution database experiences, can handle high read and write database operation

· Works with the development team to ensure applications meet operational requirements and meet SLA goals.

· Well-versed in spoken and written English

Job Types: Full-time, Contract

Salary: RM4,500.00 - RM6,000.00 per month

Schedule:

Monday to Friday

Experience:

MSSQL: 3 years (Preferred)
Linux: 3 years (Preferred)
Wintel: 3 years (Preferred)

Work Remotely:

No",MYR,6000.0,4500.0,MYR,6000.0,4500.0,"Salary: RM4,500.00 - RM6,000.00 per month",Database Administrator (MSSQL),https://malaysia.indeed.com/viewjob?cmp=AGENSI-PEKERJAAN-CAREERPATH-SDN-BHD&t=Database+Administrator&jk=1451f47dc98b8c6a&vjs=3,2021
Kuala Lumpur,Icon Plc,MY,"DOCS Operations Manager

Kuala Lampur, Malaysia

This is an exciting opportunity to work within a fast paced, busy environment for a leading global provider of outsourced development services to the pharmaceutical, biotechnology and medical device industries.

Through combined functional, operational and talent expertise, DOCS offer resourcing solutions and FSP models that significantly improve business performance. This person will effectively manage Contract Placement Consultants (CPCs) who are insourced to a client, ensuring high performance, quality delivery of client objectives and continuous development of DOCS CPCs.

DOCS homepage: https://www.docsglobal.com/

ICON Functional Services Provision (IFS): https://www.iconplc.com/services/functional-services-provision/

Job Functions and Responsibilities:

The responsibilities of the Operations Manager include, but are not limited to:

Complete DOCS induction and orientation for newly employed CPCs.
Ensure client-specific induction and orientation is planned, communicated and completed.
Establish goals and objectives for each CPC.
Monitor performance and conduct annual appraisal for each CPC, as applicable.
Conduct regular 1:1 meetings with assigned CPCs
Ensure timely submission and approval of time reports, expense reports and leave requests for assigned CPCs
Manage non-rechargeable expenses for assigned CPCs, per regional guidelines.
Create a positive relationship between DOCS, the CPC and the client to ensure retention.
Conduct accompanied site visits, if applicable / approved
Ensure timely identification, resolution and escalation of issues.
Implement, monitor and ensure appropriate completion of a Corrective Action Plan, if required.
Monitor and update relevant CPC data.

Client Relationship Management:

Establish routine teleconference and meeting schedule with client contact(s) to effectively manage client relationship.
Obtain regular client feedback to ensure CPCs are meeting performance expectations and PDPs are aligned with client goals.
Agree Key Performance Indicators (KPIs) with client and periodically review results.
Ensure compliance with time and expense reporting requirements of client contracts.
Collaborate with client to forecast resource requirements.
Ensure DOCS understands current client procedures and expectations.
Proactively plan for contract extensions, completions and terminations in collaboration with client and relevant DOCS departments.

Qualifications, Experience & Skills:

Bachelor's Degree or local equivalent, in life sciences, medicine or related discipline.
Minimum of 5 years of relevant industry experience as Sr. CRA, Lead CRA, Project Lead or CRA Manager
Previous experience in clinical project management or/and line management is preferred but not mandatory.
Demonstrated ability to identify, analyze and solve problems.
Excellent interpersonal, organizational and management skills.
Excellent verbal and written communication skills in English and Mandarin.
Strong computer skills.
Ability to operate in a multi-cultural environment.

Job Type: Full-time

Pay: RM8,400.00 - RM14,000.00 per month

Benefits:

Additional leave
Flexible schedule
Health insurance
Meal allowance
Parental leave
Professional development
Work from home

Schedule:

Flexible hours
Monday to Friday

Experience:

Clinical Research: 5 years (Required)
People Management: 1 year (Preferred)

Work Remotely:

Yes",MYR,14000.0,8400.0,MYR,14000.0,8400.0,"Pay: RM8,400.00 - RM14,000.00 per month",DOCS Operations Manager,https://malaysia.indeed.com/viewjob?cmp=Icon-Clinical-Research&t=Docs+Operation+Manager&jk=3a9d5ed8c8ee4ba5&vjs=3,2021
Kuala Lumpur (Required),Get job updates from Imtexh,MY,"JOB DESCRIPTION

Job Brief
We are looking for an experienced frontend developer to grow with our dev team. As a
frontend developer, you will be involved from conception to completion with projects that
are technologically sound and aesthetically impressive. You will be building performant
mobile (iOS/Android) or web apps using React.js or React Native.
You will leverage your excellent communication and collaboration skills and be open and
generous with sharing your knowledge and experiences to help others.
You will work with geographically dispersed teams, and be skilled at communicating across
cultures.

Responsibilities

Responsible for development of new highly-responsive, web/mobile user interface
Write clean code and reusable components.
Build new features and refactor the existing ones
Solve Data Structure and Algorithm problems within the App
Effectively see mobile development through concept to deployment
Work and collaborate with the rest of the engineering team
Work with product team and graphic designers
Learn and understand user interactions
Develop a flexible and well-structured front-end architecture, along with the APIs to

support it

Requirements & Skills

Bachelor’s Degree in Computer Science or a related field.
You have a strong understanding of modern Javascript.
You have 1.5+ years of professional experience with React.js or React Native; or

strong experience in other JS based frameworks such as Vue.js

Familiarity with native tools like Xcode, Android Studio and Gradle would be a plus
Experience with native Android and iOS SDKs preferred
Comfortable working with third-party dependencies and debugging dependency

conflicts

You worked in unit test frameworks like Jest, Enzyme, etc (Nice to have)
You use distributed version control, e.g git, with a team.
You have keen attention to detail when working with designs and product specs

Contract length: 12 months

Job Types: Full-time, Contract

Salary: RM3,500.00 - RM10,000.00 per month

Benefits:

Health insurance

Schedule:

Day shift
Monday to Friday

Experience:

Frontend : 1 year (Required)

Location:

Kuala Lumpur (Required)

Work Remotely:

No

COVID-19 Precaution(s):

Temperature screenings
Social distancing guidelines in place
Sanitizing, disinfecting, or cleaning procedures in place",MYR,10000.0,3500.0,MYR,10000.0,3500.0,"Salary: RM3,500.00 - RM10,000.00 per month",FrontEnd Developer,https://malaysia.indeed.com/viewjob?cmp=Imtexh&t=Frontend+Developer&jk=35094d2f558f635e&vjs=3,2021
Kuala Lumpur,OffGamers Sdn. Bhd,MY,"A Search Engine Optimization (SEO) Specialist analyses, reviews and implements changes to websites, so they are optimized for search engines. This means maximizing the traffic to a site by improving page rank within search engines.

Responsibilities:

Provide the plan ,develop and execute the SEO strategy as well as define the key performance indicators.

Perform onsite / offsite SEO on all websites.

Keeping up with the latest search engine algorithms and ranking methods.
The ability to write distinctive copy and also influential, original contents.
Analyzing high volumes of data on a daily basis.
To create, produce reports and analysis on website traffic, customer behavior, and engagement to support the business in making timely and informed decisions.
Perform keyword analysis and produce keyword analysis reports for relevant departments.

To monitor, assess, and react to competitor strategies.

The ability to manually audit, but also using automated tools to screen existing websites in order to reduce penalty and find inefficient optimization.
Able to provide new SEO ideas and suggestions frequently.

Requirements

Candidate must possess at least Professional Certificate or Bachelor’s Degree/Post Graduate Diploma/Professional Degree or Master’s Degree in Computer Science/Information Technology/Data Science or any equivalent.
At least 3 years of SEO experience, either at an agency or in-house.

On-page SEO, Off-Page SEO, CSS & other technical SEO skills

Excellent command in spoken and written English
Candidates with 2-3 years’ experience in successfully developing and executing SEO campaigns especially in a eCommerce environment will be an advantage.
Experience with analytical programs, such as Google Analytics, Google Search Console, and 3rd Party reporting tools.
Experience with other aspects of marketing, such as conversion rate optimization, is a plus

Application Deadline: 31/01/2021

Job Type: Full-time

Salary: From RM3,000.00 per month

Benefits:

Cell phone reimbursement
Health insurance
Work from home

Experience:

SEO: 1 year (Required)

Work Remotely:

Yes",MYR,3000.0,3000.0,MYR,3000.0,3000.0,"Salary: From RM3,000.00 per month",SEO Specialist,https://malaysia.indeed.com/viewjob?cmp=Offgamer&t=SEO+Specialist&jk=5bdfb909f4d9f26c&vjs=3,2021
Kuala Lumpur,Digital Plant Sdn bhd,MY,"Job brief

The web developer’s main responsibilities include building a website from concept all the way to completion from the bottom up, fashioning everything from the home page to site layout and function, including payment gateway and reservation forms.

Responsibilities

Write well designed, testable, efficient code by using best software development practices
Create website layout/user interface by using standard HTML/CSS practices
Integrate data from various back-end services and databases
Gather and refine specifications and requirements based on technical needs
Create and maintain software documentation
Be responsibile for maintaining, expanding, and scaling our site
Stay plugged into emerging technologies/industry trends and apply them into operations and activities
Cooperate with web designers to match visual design intent

Requirements

Degree in Computer Science or a related field
Proven working experience in web programming
Top-notch programming skills and in-depth knowledge of modern HTML/CSS
Familiarity with at least one of the following programming languages: PHP, ASP.NET, Javascript
A solid understanding of how web applications work including security, session management, and best development practices
Adequate knowledge of relational database systems, Object Oriented Programming and web application development
Hands-on experience with network diagnostics, network analytics tools
Basic knowledge of Search Engine Optimization process
Aggressive problem diagnosis and creative problem-solving skills
Strong organizational skills to juggle multiple tasks within the constraints of timelines and budgets with business acumen
Ability to work and thrive in a fast-paced environment, learn rapidly and master diverse web technologies and techniques.
Malaysian citizens only

Expected Start Date: 04/01/2021

Job Type: Full-time

Salary: RM3,500.00 - RM4,000.00 per month

Benefits:

Flexible schedule
Health insurance
Parental leave
Professional development
Work from home

Schedule:

Monday to Friday

Experience:

web programming: 2 years (Preferred)

Work Remotely:

Temporarily due to COVID-19",MYR,4000.0,3500.0,MYR,4000.0,3500.0,"Salary: RM3,500.00 - RM4,000.00 per month",Web developer,https://malaysia.indeed.com/viewjob?cmp=Digital-Plant-Sdn-bhd&t=Web+Developer&jk=6c39808002ed6595&vjs=3,2021
Kuala Lumpur,QuickDesk Sdn Bhd,MY,"The Project Management Executive will gain experience in cross-functional teams of Business Development, Operations, Engineering and Customer Success.
You will be wearing multiple hats while designing creative solutions to our customers’ greatest challenges!

What you will do:

Research
Research, conduct requirement gatherings and report on clients’ needs;
Analyse and report on competitors and industry trends;
Brainstorm and document new features and modules;
Database management:
Data Policing - Develop, maintain data and databases of people and/or companies for them to be used as leads for sales and marketing engagement;
Streamline the data collection process and identify new opportunities for process improvement;
Project Management:
Support our Enterprise Account Lead in drafting business reports and proposals, and the execution of projects;
Assist in managing our third-party vendors;
Provide project co-ordination and administrative support including meeting preparation, scheduling and status reports, documentation;
Optimise process to balance between speed and scalability and continuously improve the efficiency of the current processes;
Propose options for product improvement and product partners;
Ensure projects are completed properly, timely, within budgets, with all requirements fulfilled;
Others:
Test and monitor the products for quality assurance purposes;
Work to anticipate upcoming needs and hurdles; good instinct when to ask for advice. -|-
A degree in Mathematics, Statistics, Engineering or Computer Science preferred;
At least 2 years of experience in similar roles of project management, data analysis and reporting;
Positive attitude;
An analytical mind and a resourceful problem solver, with a strong sense of ownership;
Attention to details, and good time management skills;
Highly organised, able to prioritise and create order in chaos;
Strong verbal and written communication skills;
Excellent presentation and planning skills;
Eagerness to learn new skills, gain new knowledge and stay updated with technological and market trends.",MYR,6000.0,3000.0,MYR,6000.0,3000.0,"RM 3,000 - RM 6,000 a month",Project Management Executive,https://malaysia.indeed.com/viewjob?jk=3ad8c73d347994e4&from=serp&vjs=3,2021
Kuala Lumpur,Kuala Lumpur,MY,"Salary

RM4000-4500

Job Description

Develop new user-facing features
Ensure all development is 100% responsive for all devices
Build reusable code and libraries for future use whenever possible
Ensure the technical feasibility of UI/UX designs, work with designer to identify limitations of designs and potential solutions
Optimize application for maximum speed and scalability
Assure that all user input is validated before submitting to live environments and sensitive data is kept secure
Maintenance and Monitoring of API Connections required for functionality on website
Build the front-end of applications through appealing visual design
Develop and manage well-functioning databases and applications
Test software to ensure responsiveness and efficiency
Troubleshoot, debug and upgrade software
Create security and data protection settings
Build features and applications with a mobile responsive design
Write technical documentation

Job Requirement

Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma, Bachelor?s Degree in Computer Science/Information Technology or equivalent.
At least 2 year experience in software engineering.
Solid knowledge of software and user support, as well as web application support and understanding workflow foundation and technology.
Knowledgeable and experience with backend language such NodeJs/Java, as well as framework such as Spring, Databases such as MySQL, RESTful services and APIs, etc.
Additional advantage to candidate experienced frontend language such as HTML, CSS, JavaScript, TypeScript with Angular7 framework.
Be analytical, self-driven and proactive in keeping up new technologies, cyber security and programming languages.

Benefit?

Flexi working hours
Open office environment
Parking facilities provided

Company Background

B2B e-commerce company",MYR,4500.0,4000.0,MYR,4500.0,4000.0,RM4000-4500,Full Stack Developer,https://malaysia.indeed.com/viewjob?jk=c6e5e5602daf58a5&from=serp&vjs=3,2021
"Ampang Park, Kuala Lumpur, Malaysia",JP Infotech Sdn. Bhd.,MY,"Greetings from J P Infotech!!!

We are seeking for a dynamic and passionate professionals for the post of Automation Testers with one of our clients.

Job Title: Automation Testers (Junior, Middle and Senior Positions available)

Experience: Junior(2-4 years) | Middle (4-6 years) | Senior (6-8 years)

Location: Ampang Park, Kuala Lumpur, Malaysia

Job Type: Permanent

Responsibilities:

· Review Test cases and test artefacts produced by team members

· Provides guidance and be hands-on to testing activities as well

· Update and produce Test Scenarios targeting all business requirements

· Produce detailed Test cases and Test Procedure

· Perform test activities such as test execution, capturing and analyzing test results and raising & tracking defects

· Update and Maintaining existing test artefacts.

· Prepare Test Data and update Test Case and Requirements Matrix.

· Document and produce daily activities report

· Coordinate and liaise with relevant parties for project related items

· Maintain relationship with project team as well as with clients

· Participate in team meetings

· Maintain appropriate security controls for documents

Requirements:

· Candidate with a bachelor’s in computer science / Information Technology, Computer or equivalent

· Candidate with at least 4-5 years of IT experience, especially in the field of Software Quality Assurance is required

· Candidate must have at least 4 years of experiences in Software Application Testing and minimum

· Candidate familiar or hands on automation testing experiences in any banking industry is preferred

· Candidate equipped with automation test tech skills like Tosca automation analytical skill

· Ability to communicate in good English (Spoken & Written)

· Proficient in MS Excel, Word and PowerPoint

· Good oral and written communication skills

· Ability to work with people of all levels

· Able to work in fast paced and challenging environment

Important attributes for success:

· People-oriented

· Able to meet tight deadlines and work well under pressure

· Exceeds expectations and produces positive results

· Timekeeper, sincere person

· Predictable problems and disability points

· Identifying and mitigating risks and issues

· Commitment to quality, consideration of detail

· Be able to work independently with minimal supervision

· Effectively communicate with all levels of client organizations, vendors and stakeholders

Interested candidates, kindly share your updated CV with the project details

Job Type: Full-time

Salary: RM4,000.00 - RM8,000.00 per month

Schedule:

Day shift

Experience:

8 Years: 2 years (Preferred)

Work Remotely:

No",MYR,8000.0,4000.0,MYR,8000.0,4000.0,"Salary: RM4,000.00 - RM8,000.00 per month",Automation Testers (Juniors & Seniors),https://malaysia.indeed.com/viewjob?cmp=JP-Infotech-Sdn.-Bhd.&t=Automation+Tester&jk=daabf7439393db41&vjs=3,2021
Kuala Lumpur,AFIC Solutions,MY,"Business Analyst [Annual Income: >RM 70 to >130K]
Tech Consultants / Senior Consultants

AFIC Solutions Kuala Lumpur, Malaysia

*
Are you a detail-oriented and data-driven individual, looking for an impactful role at a globally recognized tech company? Then look no further!
*
*
If you have a curious sort of disposition, are great at explaining things, and can demonstrate the ability to help customers learn how to apply our cloud based software applications, then you are the one!
*
*
In our eCommerce team we bring the gap closer for our clientele worldwide through data management solutions. With BigData, Analytics, Business.Artificial Intelligence approach and intuitive integration we make structured and unstructured data into meaningful & impactful to core business insight and ultimately valuable for them.
*
*
We're looking for a Business Analyst to help us on our mission. In this role, you have the chance to use top-notch technologies and practices. You will be working on existing central, business-critical administration applications, but also conceptualizing and executing new projects that will make digitalize processes and revolutionize the industries.
*
*
We are hiring talented, self-motivated tech consultants to join our software team to build our global award winning analytic software.
*
*
Ready for the challenge? Read on and apply today!

CV to: info at afic-solutions.com
About this job
Job type: Full-time

Experience level: Mid-Senior Level

Industry: Data Science, Software Development

Company size: 30-50 people

Company type: Public (Sdn Bhd)
*
*
REQUIREMENTS:

A bachelor’s degree in business or related field or an MBA.

A minimum of 2 years’ experience in business analysis or a related field.

Exceptional analytical and conceptual thinking skills.

Advanced technical skills.

Excellent documentation skills.

Excellent in communication skills.

Fundamental analytical and conceptual thinking skills.

Experience creating detailed reports and giving presentations.

Competency in Microsoft applications including Word, Excel, and Outlook.

A track record of following through on commitments.

Excellent planning, organizational, and time management skills.

Experience leading and developing top performing teams.

A history of leading and supporting successful projects.

*
*
RESPONSIBILITIES:

PROJECT RELATED COMPETENCIES
*
*
Analysis and Solution Definition

Quickly understands the business issues and data challenges of client's organization and industry.

Identifies client organization's strengths and weaknesses and suggests areas of improvement.

Reviews and edits requirements, specifications, business processes and recommendations related to proposed solutions.

Develops functional specifications and system design specifications for client engagements. Technical Recommendation and Testing

Leads testing efforts.

Ensures issues are identified, tracked, reported on and resolved in a timely manner.

Works with client personnel to identify required changes.

Communicates needed changes to the development team.

*
*
Project Execution

Assists in enforcement of project deadlines and schedules.

Takes input from supervisor and appropriately and accurately applies comments/feedback.

Communicates and applies project standards.

Manages resources in accordance with project schedule.

Consistently delivers high-quality services to our clients.

Understands the components of running a fiscally successful project.

*
*
CORE COMPETENCIES

Communication

Assists in the facilitation of team and client meetings.

Delivers informative, well-organized presentations.

Understands how to communicate difficult/sensitive information tactfully. Technical Understanding

Possesses understanding in the areas of application programming, database and system design.

Understands Internet, Intranet, Extranet and client/server architectures.

Understands how legacy and web-based systems interface with each other.

*
*
Problem Solving

Identifies critical issues with ease.

Exhibits confidence and an extensive knowledge of emerging industry practices when solving business problems.

Pushes creative thinking beyond the boundaries of existing industry practices and client mind-sets.

*
*
PROFESSIONAL QUALITIES

Leadership

Generates enthusiasm among team members.

Proactively seeks opportunities to serve in leadership roles.

Challenges others to develop as leaders while serving as a role model.

Manages the process of innovative change. Teamwork

Facilitates effective team interaction.

Acknowledges and appreciates each team member's contributions. Client Management

Develops relationships with client personnel that foster client ties.

Communicates effectively with clients to identify needs and evaluate alternative business solutions with project management.

Continually seeks opportunities to increase customer satisfaction and deepen client relationships.

Manages client expectations effectively ORGANIZATIONAL RESPONSIBILITIES Innovator Development

Conducts effective progress evaluations in a timely manner.

Mentors those with less experience through informal channels.

Seeks and participates in development opportunities above and beyond training required by us.

Trains other innovators through both formal and informal training programs. Internal Operations

Suggests areas for improvement in internal processes along with possible solutions.

Leads internal teams/task forces.

Any other activity/ task as required by your manager

*

*
Additional Information

Accessibility: Next to Universiti LRT Station, KJ19 (200m walking distance).

*

Job Type: Full-time

Salary: RM70,000.00 - RM130,000.00 per year

Schedule:

Monday to Friday",MYR,10833.333333333334,5833.333333333333,MYR,10833.333333333334,5833.333333333333,"Salary: RM70,000.00 - RM130,000.00 per year",Business Analyst Tech Consultants / Senior Consultants,https://malaysia.indeed.com/viewjob?cmp=AFIC-Sdn-Bhd&t=Business+Analyst+Tech+Consultant&jk=56859140eacbf563&vjs=3,2021
