salary_currency,salary_raw,salary_min,salary_max,description,country,company,url,city,title
RM,RM3500-4800,3500,4800,"Salary

RM3500-4800

Job Description

Perform SEO analysis and keyword research in coordination with growth and acquisition objectives to optimize existing content and uncover new opportunities to improve.
Develop and implement SEO strategies for company and company related websites analyze and identify opportunities to grow organic search result and outrank competitors.
Create, manage, track, report and analyze campaigns, optimize copy and landing pages for paid search engine marketing campaigns research and analyze competitor advertising links.
Optimize the conversion of our app store pages on iOS, Android, Windows, Alexa, and more by providing keyword, description, and other ASO recommendations.
Work with Agency / Marketing Manager to provide recommendations for content development in coordination with our SEO and acquisition goals.
Manage and help develop a strategy for all product offers and promotions across platforms to support acquisition goals.
Collaborate with internal and external teams such as marketing, creative, data science, agencies, consultants, and product teams required to execute against optimization plan
Analyze key metrics daily, identify trends and execute a test to improve the target KPI. Able
to launch optimized online adverts through Google AdWords, Facebook, YouTube, LinkedIn etc. to increase company reputation and brand awareness and conversion rate.
Responsible for all marketing activities and the preparation of all marketing contents for EDMs, all posting and ongoing company presence on social media (Instagram, Facebook, WhatsApp & LinkedIn), marketing collaterals and etc.
Conduct market research on competitor analysis and info technology to support management decision making.repare al
Ponline channels monthly reports & submit monthly individual sales report with the identify and forecast for the business opportunities.
Responsible to develop new business and long term account opportunities through prospecting with the designated target markets. (Generate quotes, invoice and follow up payment with prospect/ clients.)
Establish comprehensive business plans & strategies on (Company Products, Partners Sales Performance, Promotion, Execution, etc.) to secure the new business and exclusive partnerships.
Plan & execute for the marketing plan, to increase the market share and revenue by Win Win Situation with the partners.
Contact prospective client by cold calling, premise visits, networking, lead generation, proposal Submission, and sales appointments in order to meet and exceed established sales & revenue quotas as well as increasing overall sales efficiency and profitability through excellent salesmanship
To brainstorm new and creative growth strategies, cost & ROI monitoring, align content to overall marketing roadmap (Example: Promotion, Campaign, online/ offline Event, Contest and etc.)
Participating in ad-hoc analysis/ special projects and responsible to sell the products assigns from time to time.
Develop strong relationship & remain consistent engagement with Clients & Customers on latest updates and best offerings to ensure continuous business & increase market share/ revenue by Win Win Situation.

Job Requirement

Candidate must possess at least a Diploma, Advanced/Higher/Graduate Diploma, Bachelor?s Degree, Post Graduate Diploma, Professional Degree, Business Studies/Administration/Management, Marketing or equivalent. any field.
Required language(s): English, Mandarin, Bahasa Malaysia (Candidates fluent in English & Mandarin preferred as role requires candidate to deal with mandarin speaking clients.)
At least 3 year(s) of working experience in the related field is required for this position.
Preferably Senior Executives specializing in Digital Marketing, Marketing (Offline & Online), Business Development or equivalent.
Candidate MUST possess own transport and willing to travel.

Benefit?

Flexi working hours (5 days working)
Parking facilities provided
Medical/Dental/Optical claimable

Company Background

IT & Mobile App lifestyle solution service provider

The Recruiter Sdn Bhd",malaysia,Company Background,https://malaysia.indeed.com/viewjob?jk=da450714b62cf44c&from=serp&vjs=3,Company Background,Senior Digital Marketing Executive
,,0,0,"Technologies we useWe work with modern and proven technologies that allow us to solve business problems and deliver quality products as best as we can. You can expect to work with some of these technologies.-Web applications: VueJS, React-Back-end: Node.js, Python-Mobile applications: Java, Kotlin, Swift, JavaScript (React Native), Dart (Flutter)-Database: PostgreSQL, MariaDB, MongoDB-Server: Ubuntu Linux, Apache, Nginx
Minimum qualifications:-Degree in Computer Science or Information Technology or any similar technical field of study, or equivalent practical experience.-Coding knowledge in one or more programming languages.-Experience with any one of the following: web application development, mobile application development, systems engineering.-Motivation to develop career and skills in programming.Preferred qualifications:-Strong understanding of data structures and algorithms.-Software development experience in at least two programming languages-Professional working proficiency in the English language",malaysia,Kuala Lumpur,https://malaysia.indeed.com/viewjob?jk=df14224043a5f211&from=serp&vjs=3,Kuala Lumpur,Software Engineer Intern
,,0,0,"The Offer

An established company driven by innovation
Excellent career development opportunities
A environment that recognises performance

The Job

You will be responsible for :

Designing, implementing, configuring, maintaining complex databases within clients' systems
Participating in cost-benefit analysis of new database technology
Monitoring functional capabilities of databases and improving data elements for optimised performance
Ensuring backup and recovery procedures are in place
Performing maintenance, conducting upgrades and troubleshooting related problems

The Profile

You possess a Degree/Diploma in Computer Science, Engineering or related field.
You have at least 5 years experience in a Database Administrator role with strong knowledge of Oracle DB and MS SQL.
You have experience with measuring and tuning database performance as well as configuring and optimising storage devices
You have experience with version control software and agile methodologies
You pay strong attention to detail and deliver quality, zero-defect work
You have strong communication skills. both written and verbal.
You are a proactive team player and can handle various stakeholders

The Employer

Our client is an established outsourcing and software development firm driven by innovation and committed to providing their clients with cost-effective and high-quality solutions.",malaysia,Kuala Lumpur,https://malaysia.indeed.com/viewjob?jk=50c5ba056acecadb&from=serp&vjs=3,Kuala Lumpur,Database Specialist
,,0,0,"Job Summary:

The Head of PMO, is responsible for ensuring that Central Operations projects are planned, managed, and governed in a consistent, transparent, and disciplined manner. The position requires an experienced program management professional with the right mix of relevant experience and skills, an ability to flex between the strategic and the tactical, outstanding verbal and written communication skills, and a high level of energy and flexibility to get things done and thrive in a fast-paced, team-oriented environment. In this role, s(he) will manage a team of Technical Program/Project Managers, from various departments who use Agile Development Methods and the Scrum Framework. S(he) will be responsible for hiring top talent and keeping the organization highly engaged and motivated, delivering exceptional results. The ability to work across functions and teams will allow him/her to ensure alignment of priorities and goals, drive results and foster a culture and environment to achieve excellence and innovation.

Job Responsibilities:

Define the PMO strategy and lead the design and implementation of a common project management methodology, standards and tools to drive and facilitate the successful delivery of projects
Manage P&L initiatives and link all departmental initiatives.
Responsible for department OKRs and managing achievement of these goals.
Lead the execution of a PMO governance, reporting and review framework to provide a holistic view of all organizational project activity
Manage interdependencies and coordination across projects to ensure that information relating to project deliverables, risks and issues are effectively communicated between stakeholders and that key performance indicators are monitored and evaluated
Define business strategies and organizational policies to enable the strategic coordination of multiple major projects and initiatives to improve efficiency and effectiveness of projects.
Foster collaborative and mutually supportive relationships with project leaders and senior stakeholders, assess cross-functional project team capability, provide coaching, training and support to enhance the project/program management capability, and improve collaborative development and project results
Create and present high level monthly or ad hoc strategic reports.

Project Management Governance:

Establish the PMO role and operating model (e.g. centralized or decentralized, areas of focus).
Set standards for project management capabilities, including certifications and qualifications for Project Managers, success measurement criteria, methodologies, tools to be used, etc.
Create a 'Centre of Excellence' to nurture project management practitioners and share knowledge of industry best practices.
Monitor compliance with policies and standards.

Project Management Team Leadership:

Establish the PMO organization structure, hiring and managing staffing requirements in line with project objectives.
Oversee the delegation of work to Project Managers, Program Managers and Business Analysts.
Set annual performance targets for individuals and the team and conduct performance reviews.

Project Tracking & Monitoring:

Track and provide project status and audit reports.
Manage the risk, issue and change resolution process, and work with other leaders to take corrective action as needed.
Oversee Project Managers for the delivery of projects/programs on time, within scope and on budget.

Project Prioritization

Provide executive leaders with the information needed to assess which proposals have the highest potential value, impact and strategic alignment.
Interface with executives to define project priorities and implementation opportunities and challenges and keep them up to date with project risks and opportunities.

Qualifications:

Bachelors or Masters degree with a STEM focus (Science, Technology, Engineering or Math). MBA is a plus.
7+ years of relevant work experience in either Program, Project or Portfolio management.
Previous experience in managing a large portfolio of projects
5+ years of experience hiring, training, mentoring and managing a project team of 10 or more members.
Exceptional knowledge of Agile/Scrum/Lean principles and practices.
Extremely hands on individual that relies very heavily on on data to make decisions and drive projects to completion",malaysia,Follow,https://malaysia.indeed.com/viewjob?jk=3eba2ba9cd1f01f1&from=serp&vjs=3,Follow,foodpanda Malaysia
RM,"Salary: RM4,500.00 - RM6,000.00 per month",4500,6000,"Responsibilities

· Ensure availability, capacity and performance of the databases that support existing systems

· Installing, upgrading, configuring, testing and migrating of database

· Developing, managing, testing and carrying out backup and recovery plans/processes for various sites

· Ensure that the associated hardware capacity allocated to database provision is sufficient

· Management of databases, including change requests and troubleshooting incidents

· Ensure that documentation is maintained and kept up to date in line with standards and policies

· Managing all database related access permissions and privileges

· Performing database normalization and optimization

· Working closely with IT-related projects with related departments.

· Communicating regularly with technical, application and operational staff to ensure database integrity and security

Requirements

· Diploma / Degree in relevant Computer/Information Science

· At least 3 years and above professional Database Administrator experiences

· Possess good interpersonal and communication skills

· Strong knowledge in MSSQL

· Experience in data modelling for analytics using MSSQL

· Hands-on proficiency in Linux Operating System, as well as window server

· Global capacity planning and monitoring for future regional sites growth and demands

· Ability to work on assignment without detailed instructions, with good initiative and a cross-team player

· Problem-solving and good analytical skills

· Required distribution database experiences, can handle high read and write database operation

· Works with the development team to ensure applications meet operational requirements and meet SLA goals.

· Well-versed in spoken and written English

Job Types: Full-time, Contract

Salary: RM4,500.00 - RM6,000.00 per month

Schedule:

Monday to Friday

Experience:

MSSQL: 3 years (Preferred)
Linux: 3 years (Preferred)
Wintel: 3 years (Preferred)

Work Remotely:

No",malaysia,Agensi Pekerjaan Careerpath Sdn Bhd,https://malaysia.indeed.com/viewjob?cmp=AGENSI-PEKERJAAN-CAREERPATH-SDN-BHD&t=Database+Administrator&jk=1451f47dc98b8c6a&vjs=3,Agensi Pekerjaan Careerpath Sdn Bhd,Database Administrator (MSSQL)
RM,"Pay: RM8,400.00 - RM14,000.00 per month",8400,14000,"DOCS Operations Manager

Kuala Lampur, Malaysia

This is an exciting opportunity to work within a fast paced, busy environment for a leading global provider of outsourced development services to the pharmaceutical, biotechnology and medical device industries.

Through combined functional, operational and talent expertise, DOCS offer resourcing solutions and FSP models that significantly improve business performance. This person will effectively manage Contract Placement Consultants (CPCs) who are insourced to a client, ensuring high performance, quality delivery of client objectives and continuous development of DOCS CPCs.

DOCS homepage: https://www.docsglobal.com/

ICON Functional Services Provision (IFS): https://www.iconplc.com/services/functional-services-provision/

Job Functions and Responsibilities:

The responsibilities of the Operations Manager include, but are not limited to:

Complete DOCS induction and orientation for newly employed CPCs.
Ensure client-specific induction and orientation is planned, communicated and completed.
Establish goals and objectives for each CPC.
Monitor performance and conduct annual appraisal for each CPC, as applicable.
Conduct regular 1:1 meetings with assigned CPCs
Ensure timely submission and approval of time reports, expense reports and leave requests for assigned CPCs
Manage non-rechargeable expenses for assigned CPCs, per regional guidelines.
Create a positive relationship between DOCS, the CPC and the client to ensure retention.
Conduct accompanied site visits, if applicable / approved
Ensure timely identification, resolution and escalation of issues.
Implement, monitor and ensure appropriate completion of a Corrective Action Plan, if required.
Monitor and update relevant CPC data.

Client Relationship Management:

Establish routine teleconference and meeting schedule with client contact(s) to effectively manage client relationship.
Obtain regular client feedback to ensure CPCs are meeting performance expectations and PDPs are aligned with client goals.
Agree Key Performance Indicators (KPIs) with client and periodically review results.
Ensure compliance with time and expense reporting requirements of client contracts.
Collaborate with client to forecast resource requirements.
Ensure DOCS understands current client procedures and expectations.
Proactively plan for contract extensions, completions and terminations in collaboration with client and relevant DOCS departments.

Qualifications, Experience & Skills:

Bachelor's Degree or local equivalent, in life sciences, medicine or related discipline.
Minimum of 5 years of relevant industry experience as Sr. CRA, Lead CRA, Project Lead or CRA Manager
Previous experience in clinical project management or/and line management is preferred but not mandatory.
Demonstrated ability to identify, analyze and solve problems.
Excellent interpersonal, organizational and management skills.
Excellent verbal and written communication skills in English and Mandarin.
Strong computer skills.
Ability to operate in a multi-cultural environment.

Job Type: Full-time

Pay: RM8,400.00 - RM14,000.00 per month

Benefits:

Additional leave
Flexible schedule
Health insurance
Meal allowance
Parental leave
Professional development
Work from home

Schedule:

Flexible hours
Monday to Friday

Experience:

Clinical Research: 5 years (Required)
People Management: 1 year (Preferred)

Work Remotely:

Yes",malaysia,Icon Plc,https://malaysia.indeed.com/viewjob?cmp=Icon-Clinical-Research&t=Docs+Operation+Manager&jk=3a9d5ed8c8ee4ba5&vjs=3,Icon Plc,DOCS Operations Manager
,,0,0,"Job Description

Are you ready to take off and be part of the Allstar employee? Whether you’re applying for a developer, customer happiness or crew, at AirAsia we act as One AirAsia.

If you are hungry to make a difference with one of the most well known low-cost airlines and to work in the dynamic technology hub, this is the job for you.

Airline Data Department offers advanced data oriented solutions for Airline Operations spanning across Flight Operations, Crew Management, Aircraft Maintenance and Network planning Insights. The portfolio includes building world class Visualisation products having Visual Dashboards, ML models, optimization solutions, data pipelines, professional apps, cloud infrastructures and associated services. We are proud to be one of the innovative teams of Airasia, the best budget airline provider in the world, scheduling domestic and international flights to more than 165 destinations spanning 25 countries. In doing so, we make a significant contribution to transform our airline into a tech-driven company.

Duties and Responsibilities:

Work closely with project managers to understand and maintain focus on their analytical needs, including identifying critical metrics, KPIs, and deliver actionable insights & dashboard to relevant decision-makers

Analyze data to answer key questions with an eye for what drives business performance, investigating and communicating areas for improvement in efficiency and productivity

Develop, maintain, and review the requirements, design and testing documentation

Identify trends and opportunities for growth through analysis of complex data sets.

Collaborate and work across functional and multidisciplinary teams in a dynamic environment to develop an understanding of evolving/agile business needs.

Manage external technical communication with partners and vendors.

Contribute to adopting and improving data governance policies.

Keep up with current technical and industry developments.

Adhere to Data Governance as data auditor for reports/dashboards, analytics and insights.

Training end users on new reports and dashboards.

Review and signoff the design, troubleshooting & UAT documentation.

Communicate solutions to stakeholders and drive improvements as needed.

Requirements and Qualifications:

BS/MS/PhD in a Business, IT, Mathematics, Science or Engineering discipline

Up to 12 years relevant experience beyond first degree

Ability to manage, develop and improve internal processes projects through redesigning, automation, and optimization.

Ability to transcribe strategic insights into actionable recommendations.

Ability to translate business requirements into non-technical, lay terms.

Strong using SQL skills for data analytics and a good understanding of statistics

Familiar or prone to adopt design thinking methods

Able to operate under pressure and change, and balance among speed, reliability, interpretability

Good working knowledge of productivity tools such as G Suite, Git, Jira, Confluence

Experience with code versioning, code review and documentation

Openness to experimenting with new techniques and new ways of working.

Excellent written and verbal communication skills for coordinating across teams.

MS or PhD is strongly preferred for Lead/Manager, Principle/Senior-Manager roles.

Experience with Visualisation tools such as Tableau, Data Studio

Experience with one of the following languages: Python, R, Java, C/C++ and Scala

Familiar with containerisation (Docker) and orchestration tools (Kubernetes)

Applicants with experience using Google Cloud Platform are highly favored.

What makes an Allstar employee? You allow yourself to ‘Dare to Dream’ big dreams and seize the day. You ‘Make things Happen’, you like taking efforts and achieve it. Without any effort, no dream will get fulfilled.

Our companies include Airasia.com, BigPay, Teleport, BigLife, RedBeat Ventures, AirAsia Foundation, Tune Group of Hotels, TuneProtect, OURSHOP, FORM.AT, Airasia Ads

AirAsia is committed to creating an inclusive work environment with a diverse workforce. All qualified applicants will receive consideration for employment without regard to race, religion, gender, sexual orientation, national origin, disability or age.

We are all different - one talent to another - that is how we rely on our differences. At AirAsia, you will be treated fairly and given all chances to be the best. We committed to creating a diverse work environment and are proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.",malaysia,Follow,https://malaysia.indeed.com/viewjob?jk=c4ad7dd69048995e&from=serp&vjs=3,Follow,Lead Data Analyst
,,0,0,"We Offer
Do you want to work in a dynamic, innovative tech environment where no two days are the same?
In our Gaming, Entertainment & Fintech Engineering team we bring the gap closer for our clientele
worldwide through data management solutions. With BigData, Analytics, Business. Artificial Intelligence
approach and intuitive integration we make structured and unstructured data into meaningful & impactful
to core business insight and ultimately valuable for them.

We're looking for a Programme Manager to help us on our mission. In this role, you have the chance to
use top-notch technologies and practices. You will be working on existing central, business-critical
administration applications, but also conceptualizing and executing new projects that will make digitalize
processes and revolutionize the industries.

We are hiring a talented, self-motivated Programme Manager to join our software team to build our global award-winning analytic software.

Ready for the challenge? Read on and apply today!
CV to: info@afic-solutions.com

About this job

Job type: Full-time
Experience level: Entry-Mid Level
Industry: Data Science, Software Development
Company size: 30-50 people
Company type: Public (Sdn Bhd)

The group maintains a philosophy of multi-skilling and cross-fertilisation of all its employees. In addition to reviewing and being responsible for a healthy P&L of your team/business unit, you will be required to
oversee and perform the duties typically expected of one holding your position and seniority. Your job
descriptions would include the following

Aware and in pursuit of opportunities for account growth and new business, involving the
Senior Management and Directors.
Provides regular two-way communication between the client and team, to provide strong team representation and set proper client expectations.
Interact closely with the technical/project delivery team and Account Executives, to gather, monitor, and analyze performance data and ongoing strategy on a monthly basis throughout the length of the campaign.
Collective review with the project team and project delivery committee all major deliverables (i.e. strategic brief, function spec, tech spec, etc.) to ensure quality standards and client expectations are met.
Working with the project teams to produce weekly, monthly and quarterly status reports to each client and establishing individual requirements whereby each client receives a bespoke service.
Provide direction, guidance to the project team to ensure alignment with the Company’s strategies.
Develop an effective plan of action for running programs from inception to completion
Manage daily operations that support and implement the program objectives
Strategically map-out a program schedule and timeline and ensure it is followed
Suggest innovative plans and processes to improve program functions
Suggest and assist in creating marketing initiatives to increase program awareness
Set goals for the programs and track progress, set-backs, and overall performance
Analyze program results and present findings to management
Prepare and maintain budgets
Ensure an appropriate programme or project management framework is in place.
Prepare program brief, project initiation documents and business case among other documents
Establish formal reporting arrangements on programme or project progress
Define criteria for control and management of the program or project
Achieving on-going KPIs assigned by the senior management
Any other activity/ task as required by the senior management

Requirements:

Candidates who have had experience in and are able to manage and run complex projects/programs from design and development to production will have an added advantage
Experience in running e-commerce related business operations will have an added advantage
Experience in sales, marketing, and customer service will have an added advantage
Able to present well and manage situations in project steering groups.
Candidates should have strong organizational, presentation, and customer service skills.
Candidates should be responsible, resourceful, and enjoy working in a challenging environment.
Ability to communicate well in English (both verbal and written) is essential.
Candidates who are able to start work immediately will have an added advantage.

Additional Information

Office Location: Next to Universiti LRT Station, KJ19 (200m walking distance).",malaysia,AFIC Solutions Kuala Lumpur,https://malaysia.indeed.com/viewjob?jk=5d4c6740c9c80bd8&from=serp&vjs=3,AFIC Solutions Kuala Lumpur,Programme Manager (FT)
,,0,0,"The Offer

Excellent opportunity within an international firm
Work alongside industry experts in a nurturing environment
Strong emphasis on career development

The Employer

Our client is an international IT services company with multiple offices around the globe. They are looking for talented and passionate individuals to work on exciting projects with the team.

The Job

You will be responsible for :

Designing solutions with well-designed, testable and efficient code.
Integrating Salesforce applications with third-party services and testing stability of the application
Designing workflows and creating development goals.
Working as a part of a dynamic team to deliver winning products.
Providing code documentation and other inputs to technical documents.
Supporting continuous improvement by investigating alternatives and new technologies and presenting these for architectural review.
Troubleshooting and debugging to optimise performance.

The Profile

You possess a Degree/Diploma in Computer Science, Engineering or related field.
You have at least 2 years of solid experience in a Salesforce Developer or similar role.
Having a certification will be an added advantage.
You possess strong knowledge of SQL and MySQL databases.
You pay strong attention to detail and deliver work that is of a high standard
You possess strong analytical skills and are comfortable dealing with numerical data
You are adaptable and thrive in changing environments
You are a strong collaborator and can work with cross-functional teams to achieve result

Ref :39009118",malaysia,Snaphunt Pte Ltd,https://malaysia.indeed.com/viewjob?jk=3a85bf327266daca&from=serp&vjs=3,Snaphunt Pte Ltd,Salesforce Developer
,,0,0,"The Offer

Work within a renowned IT services company
Comprehensive and extensive salary & benefits
Learn alongside an innovative and motivated team

The Employer

Our client is dedicated IT outsourcing services company that customises high-quality software applications to help their customers achieve their technological goals. They have a highly-experienced development team that ensures absolute compatibility between system and application, resulting in maximum satisfaction.

The Job

You will be responsible for :

Writing well-designed, testable and efficient code.
Gathering and evaluating user feedback.
Working as a part of a dynamic team to deliver winning products.
Providing code documentation and other inputs to technical documents.
Supporting continuous improvement by investigating alternatives and new technologies and presenting these for architectural review.
Troubleshooting and debugging to optimise performance.

The Profile

You possess a Degree/Diploma in Computer Science, Engineering or related field with at least 2 years experience within a Software Engineer role.
You possess strong knowledge of HTML, Javascript, Java and Node.js.
You are familiar with Solaris operating systems.
Having knowledge of Oracle would be a strong plus.
You are a strong team player who can manage multiple stakeholders
You possess strong analytical skills and are comfortable dealing with numerical data
You are a strong networker & relationship builder

Ref :74920211",malaysia,Kuala Lumpur,https://malaysia.indeed.com/viewjob?jk=c0e843fcc373e05d&from=serp&vjs=3,Kuala Lumpur,Java Developer
